"Attributes","Attributs"
"ID","ID"
"Code","Code"
"Custom value","Valeur libre"
"Label","Intitulé"
"Entity","Entité"
"Input","Champ"
"Code","Code"
"Options","Options"
"Number of options","Nombre d'options"
"General","Général"
"Position","Position"
"Text","Texte"
"Select","Select"
"Multiselect","Multiselect"
"System","Système"
"Is filterable","Filtrable"
"Filters","Filtres"
"Apply","Appliquer"
"items","articles"
"item","article"
"We can't find items matching the selection.","Nous ne trouvons pas d'articles correspondant à la sélection."
"Filtered by:","Filtré par :"
