"Dashboard","Tableau de bord"
"Login","Connexion"
"Username","Identifiant"
"Password","Mot de passe"
"Required fields","Champs obligatoires"
"Sign in","Se connecter"
"Username is required","Le nom d'utilisateur est obligatoire"
"Password is required","Le mot de passe est obligatoire"
"Invalid username or password","L'identifiant ou le mot de passe est incorrect"
"Admin","Admin"
"Users","Utilisateurs"
"Account","Compte"
"Log Out","Déconnexion"
"Account Information","Informations du compte"
"First name","Prénom"
"Last name","Nom"
"Email","Email"
"User name","Identifiant"
"Connection","Connexion"
"Password","Mot de passe"
"Update","Mettre à jour"
"Required fields","Champs obligatoires"
"Welcome! Please update user information before continuing","Bienvenue ! Merci de mettre à jour les données de l'utilisateur avant de continuer"
"The first name cannot be empty","Le prénom est obligatoire"
"The last name cannot be empty","Le nom est obligatoire"
"The Email cannot be empty","L'email est obligatoire"
"The username cannot be empty","Le nom d'utilisateur est obligatoire"
"Email is not valid","L'email n'est pas valide"
"This username is not allowed","Cet identifiant n'est pas autorisé"
"Password must contain at least 8 characters, one letter and one number","Le mot de passe doit comporter au moins 8 caractères, une lettre et un chiffre"
"An error occurred when saving the data","Une erreur s'est produite lors de l'enregistrement des données"
"Data has been successfully saved","Les données ont été enregistrées avec succès"
"Connection Information","Informations de connexion"
"Created At","Ajouté le"
"Action","Action"
"Actions","Actions"
"Delete","Supprimer"
"Edit","Éditer"
"We couldn't find any records.","Nous n'avons trouvé aucun enregistrement."
"Filter","Filtrer"
"Add","Ajouter"
"Remove","Supprimer"
"Submit","Envoyer"
"Selected records have been deleted","Les enregistrements sélectionnés ont été supprimés"
"You must keep at least one user","Vous devez conserver au moins un utilisateur"
"Please select items","Merci de sélectionner des éléments"
"Reset Filter","Réinitialiser le filtre"
"of","sur"
"New","Nouveau"
"Save","Enregistrer"
"Back","Retour"
"You can not delete your own account","Vous ne pouvez pas supprimer votre compte"
"French (France)","Français (France)"
"English (United States)","Anglais (Etats-Unis)"
"This element no longer exists","Cet élément n'existe pas"
"View","Afficher"
"record","élément"
"records","éléments"
"Page","Page"
"This action is not allowed.","Cette action n'est pas autorisée."
"User Resources","Autorisations"
"Admin","Administrateur"
"List","Liste"
"Hierarchy","Hiérarchie"
"Parent","Parent"
"Position","Position"
"Cancel","Annuler"
"Database writing statements are disabled","Les instructions d'écriture de la base de données sont désactivées"
"Flush","Rafraîchir"
"Refresh","Rafraîchir"
"The cache has been flushed.","Le cache a été rafraîchi."
"The cache has been refreshed.","Le cache a été rafraîchi."
"file(s) deleted.","fichier(s) supprimé(s)."
"Class symlinks have been flushed.","Les liens symboliques de classe ont été supprimés."
"Backend key is set to ""leafiny"". Please modify for more security.","La clé d'accès au backoffice est ""leafiny"". Merci de modifier pour la sécurité."
"Section:","Section :"
"You are going to delete <strong>${number} entrie(s)</strong>, are you sure?","Vous allez supprimer <strong>${number} ligne(s)</strong>, confirmer ?"
