"Menu","Menu"
"Categories","Categories"
"Category","Category"
"Text","Texte"
"Key","Key"
"Name","Name"
"Status","Status"
"Language","Language"
"General","General"
"Search Engine","Search Engine"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Canonical URL","Canonical URL"
"Robots","Robots"
"Updated At","Updated At"
"Disabled","Disabled"
"Enabled","Enabled"
"The name cannot be empty","The name cannot be empty"
"The key cannot be empty","The key cannot be empty"
"Breadcrumb","Breadcrumb"
"Show in menu","Show in menu"
"Style","Style"
"Inline CSS","Inline CSS"
