"Contact","Contact"
"Name","Name"
"E-mail","E-mail"
"Message","Message"
"Open","Open"
"Required fields","Required fields"
"Send Message","Send Message"
"Configuration","Configuration"
"Messages","Messages"
"New contact message","New contact message"
"The Email cannot be empty","The Email cannot be empty"
"The message cannot be empty","The message cannot be empty"
"The name cannot be empty","The name cannot be empty"
"Email is not valid","Email is not valid"
"Your message was sent successfully","Your message was sent successfully"
"An error occurred when sending message","An error occurred when sending message"
"Yes","Yes"
"No","No"
"Please enter the letters you see","Please enter the letters you see"
"Invalid security code","Invalid security code"
